Name                         Score      Rank   T.Score    T.Rank
rkaid                       54.168       531       783       548
sage1234                    54.052       532      1213       351
vogonpoet                   53.931       533      1108       385
zkobry                      53.779       534       471       754
msong                       53.114       535      1018       418
isock                       53.098       536       625       647
dri                         53.039       537      1185       357
sirlaser                    53.032       538      1146       370
bed                         52.923       539       220      1205
jorn                        52.907       540       984       435
namelastname112             52.899       541       903       471
chukamok                    52.855       542      1211       352
zaque                       52.538       543       488       732
growf                       52.381       544       225      1187
alphasco                    52.274       545       786       547
geewiz                      52.248       546       969       447
koomh                       51.960       547       866       496
kilk                        51.902       548       190      1293
nurae                       51.741       549       501       723
shoop                       51.684       550       476       751
kiel97                      51.618       551       439       785
absolon                     51.432       552       529       699
spsoon                      51.388       553       501       723
jopke                       51.329       554      1050       402
sin92                       50.852       555       566       677
feta                        50.710       556       482       743
yoseung                     50.515       557       682       609
michaelh                    50.348       558       796       534
lukano                      50.339       559       874       490
aimeelou                    50.313       560       770       559
dillytodds                  50.087       561      1144       372
munq                        49.755       562       577       673
kryft                       49.664       563       366       897
noxor                       49.587       564       416       810
slothferatu                 49.483       565       888       480
dwachs                      49.454       566       871       493
nxtlvl                      49.443       567        30      2186
bluepsion                   49.261       568      1442       290
louis                       49.175       569       538       692
komi                        48.985       570      1881       189
noblelogik                  48.924       571       716       590
denma4721                   48.904       572       447       772
lokibrotherofthor           48.701       573      1233       343
billybushsty                48.623       574       874       490
stringdemon                 48.397       575       594       664
flooderbenga                48.267       576      1142       373
shitimlost                  48.257       577       688       606
valmet                      48.153       578       505       718
psychodad                   48.111       579       814       525
raoeoiku                    48.095       580       925       462
olmar                       48.091       581       487       737
robertstho                  48.016       582       677       612
gorice                      47.971       583      1376       308
jmglibera                   47.820       584       882       483
zlionsfan                   47.813       585       374       875
omndra                      47.718       586       895       477
canyonrider2008             47.701       587       689       604
apparentbliss               47.597       588       790       542
rauc                        47.596       589      1224       346
justnoob                    47.444       590       448       771
ringo67                     47.348       591       708       595
badbadger                   47.259       592       343       931
dricus                      47.185       593       874       490
nagaseeker                  47.080       594       341       939
reriks1                     47.031       595       418       808
zeloya                      46.886       596      1186       355
endlessmike                 46.839       597       643       636
sambo                       46.779       598       383       857
turnerjer                   46.363       599       120      1553
kibaces                     46.258       600       697       601
hwata                       46.057       601       965       448
skeptopotamus               46.033       602       652       628
fingolfin                   45.839       603       300      1016
orionpirate                 45.765       604       135      1487
sebi                        45.591       605        25      2256
nogardnew                   45.431       606       835       514
eeldvark                    45.297       607       170      1364
jganora                     45.273       608       245      1135
hergaster                   45.121       609      1142       373
zeke                        44.945       610       665       623
igxen                       44.934       611      1062       397
filthy                      44.930       612      1021       416
seawater                    44.816       613       245      1135
reasonance                  44.770       614       860       500
moonokgonju                 44.548       615       516       707
naga                        44.533       616       550       685
elbereth                    44.506       617       548       687
lordlovebone                44.491       618       683       608
rabbit                      44.309       619       996       428
tovarisch                   44.304       620       638       638
doublemman                  44.206       621       335       944
chiku                       44.194       622       703       597
amalloy                     43.935       623      1106       386
mrflay                      43.850       624        70      1817
othur                       43.834       625       515       708
advil                       43.720       626      1191       354
sevendeadlysins             43.572       627       480       745
shepard                     43.554       628       249      1127
boshek                      43.553       629       278      1070
cruella                     43.551       630       175      1348
pestilence                  43.526       631       494       730
thetwistedowl               43.466       632       649       630
warden                      43.372       633       934       455
