"Name","Score","Rank","T.Score","T.Rank","player1","player2","player3","player4","player5","player6","The Explorer I","The Explorer II","The Explorer III","The Heretic I","The Heretic II","The Heretic III","Slow and Steady I","Slow and Steady II","Slow and Steady III","The Politician I","The Politician II","The Politician III","The Pious I","The Pious II","The Pious III","Nature's Ally I","Nature's Ally II","Nature's Ally III","Avarice I","Avarice II","Avarice III","The Inheritor I","The Inheritor II","The Inheritor III","Gelatinous Body I","Gelatinous Body II","Gelatinous Body III","Lord of Darkness I","Lord of Darkness II","Lord of Darkness III","Spiteful I","Spiteful II","Spiteful III","Speed Demon I","Speed Demon II","Speed Demon III","Nemelex' Choice I","Nemelex' Choice II","Nemelex' Choice III","The Conqueror I","The Conqueror II","The Conqueror III","The Prophet I","The Prophet II","The Prophet III","The Ascetic I","The Ascetic II","The Ascetic III","The Lorekeeper I","The Lorekeeper II","The Lorekeeper III","Vow of Courage I","Vow of Courage II","Vow of Courage III","Brute Force I","Brute Force II","Brute Force III","Graceful I","Graceful II","Graceful III","Ruthless Efficiency I","Ruthless Efficiency II","Ruthless Efficiency III","Descent into Madness I","Descent into Madness II","Descent into Madness III","The Harvest I","The Harvest II","The Harvest III","Angel of Justice I","Angel of Justice II","Angel of Justice III"
"Gnollbody Here But Us Chickens (dillytodds)",298.155,49,3072,79,"dillytodds","nicocat","kewadin","nix","wulfston",NA,"","X","","X","","","X","","","","X","","","X","","X","","","","X","","","","X","X","","","X","","","X","","","","","","X","","","","X","","","","","","X","","X","","","X","","","X","","","X","","","X","","","X","","","","X","","","",""
"TEAM MEAT (vanveen)",293.423,50,5900,45,"vanveen","hubbles","jess","shadowablaze",NA,NA,"","","X","X","","","","X","","","X","","","X","","","X","","","X","","","","X","","X","","X","","","X","","","","","X","","","X","","X","","","X","","X","","","X","","","X","","","","","","X","","","","","","X","","","","X","","","","X"
"Cheis Casually Chill Chums (jiveturtle)",281.884,51,6649,36,"jiveturtle","cosaga5","typeaskee","werew","cerulescent","melvinkitnick","","","X","X","","","","X","","","X","","","X","","","X","","","X","","X","","","X","","","X","","","X","","","","","X","X","","","","","X","X","","","","X","","X","","","","X","","","","","X","","","","","","X","","","","X","","","","X"
"Ive got Wu Jian my radar (candlesan)",265.058,52,5406,53,"candlesan","gnome","c0l","gedrah","shibe","violetgray","","","X","X","","","","X","","X","","","","X","","","X","","","X","","","","","","","X","","","","","","","","","X","","","X","","","X","","X","","X","","","X","","","X","","","","","","X","","","","","","","X","","","","X","","","X"
"Bay12 Miners (ggurman)",252.229,53,7361,30,"ggurman","fv001","cerran","damiac","quinnr","vogonpoet","","X","","X","","","","X","","","X","","","X","","X","","","","X","","","X","","X","","","X","","","","","","X","","","X","","","","X","","","X","","X","","","","X","","X","","","","","","X","","","","","","X","","","","X","","","","X"
"The League of Explorers (mdonais)",251.732,54,6317,38,"mdonais","celestalon","drumil","nagnazul","theelusivetrout",NA,"","","X","X","","","","X","","X","","","","X","","","X","","","X","","","","","","","X","X","","","","","","","","","","","X","","X","","X","","","X","","","X","","","X","","","","","","X","","","","","","","","X","","","X","","","X"
"At Home Apple Juice (joy1999)",236.85,55,6137,42,"joy1999","enhl","justnoob","kccg005","tosi1",NA,"","","X","X","","","X","","","","X","","","X","","","X","","","X","","","","","","X","","X","","","","","","","X","","","","X","","X","","","X","","X","","","X","","","","X","","","","","X","","","","","","","","X","","X","","","","X"
"Pandemonium Cakes (ksagri)",232.92,56,4094,64,"ksagri","socksu",NA,NA,NA,NA,"","","X","","","","","X","","X","","","","X","","","X","","","X","","","","","","","X","X","","","","","","","","X","","X","","","","X","","","","","","","X","","","X","","","","","","X","","","","","","","","X","","X","","","","X"
"Beer Advisors New Clothes (mukku)",214.998,57,5294,54,"mukku","heintsi","marsu","sour","turnburgler",NA,"","X","","","","","","X","","X","","","","X","","X","","","","X","","X","","","","X","","X","","","X","","","","","X","","","X","","X","","","","","X","","","X","","","","X","","X","","","X","","","","","","X","","","","X","","","",""
"xobeh must die (tlatlagkaus)",209.67,58,2085,94,"tlatlagkaus",NA,NA,NA,NA,NA,"","","X","X","","","X","","","","","X","","X","","","X","","","X","","","","","","","","X","","","","","","","","X","","","X","","X","","","","","","","","","","","","X","","","","","X","","","","","","X","","","","X","","","X",""
"DistantZot (wimpyranger)",209.602,59,4125,63,"wimpyranger","coron",NA,NA,NA,NA,"","","X","X","","","X","","","X","","","","X","","","X","","","X","","","X","","","X","","X","","","X","","","","","X","X","","","","X","","X","","","","","","X","","","X","","","","","","X","","","","","","","X","","","X","","","","X"
"Boys Club (jacory)",195.884,60,1447,104,"jacory","imaginemesusan",NA,NA,NA,NA,"","X","","","","","X","","","","","","","X","","X","","","","X","","X","","","X","","","X","","","X","","","X","","","X","","","","X","","X","","","","X","","X","","","X","","","","","","X","","","X","","","X","","","","X","","","",""
"Flying Fantastica (lifeff)",194.01,61,1929,97,"lifeff",NA,NA,NA,NA,NA,"","","X","X","","","X","","","","","X","X","","","","X","","","X","","","","","","","","X","","","","","","","","X","","","","","X","","","X","","","","","","","","","X","","","","","X","","","","","","X","","","","X","","","","X"
"Octofelid (squidcat)",192.87,62,3594,69,"squidcat","ktgrey",NA,NA,NA,NA,"","","X","X","","","","X","","X","","","","X","","","X","","","X","","","","","","","X","","","","","","","","","X","","X","","","X","","","","","","","","X","","","X","","","","","","","","","","","","X","","","","","X","","","X"
"GWJ - Rational Fears (michaelh)",189.106,63,4824,58,"michaelh","athros","math","merphle","rauc",NA,"","X","","X","","","X","","","","X","","","X","","X","","","","X","","","X","","X","","","X","","","X","","","","","","X","","","","X","","","X","","X","","","X","","","","X","","","","","X","","","","","","X","","","","X","","","","X"
"High Elf Low Win (morosan)",188.52,64,4329,60,"morosan","astralzenith","orionpirate","briggs","nszabo","treasuregoblin","","","X","","","","","X","","X","","","","X","","","X","","","X","","X","","","","","X","","","","","","","","","","","","","","X","","","X","","X","","","X","","","X","","","","","","X","","","X","","","X","","","","X","","","","X"
"This machine kills formacids (mrdesaussure)",188.492,65,5030,57,"mrdesaussure","antisprigganmachine","commandertso","dweomer","fatvalkilmer","franklloydfight","","X","","X","","","X","","","X","","","","X","","","X","","","X","","X","","","X","","","X","","","X","","","","X","","","","","","X","","","","","X","","","X","","","","X","","X","","","X","","","","","","","X","","","X","","","","X"
"AmberSquad (jazmu)",188.149,66,2764,84,"jazmu","ripsaw",NA,NA,NA,NA,"","","X","","","","X","","","X","","","X","","","","X","","","X","","","","","","","","X","","","X","","","","X","","X","","","","X","","","","","X","","","X","","","X","","","","","","","","","","","","","","X","","","X","","","X"
"SLAMDUNKATRON (willcat)",185.964,67,2632,85,"willcat","badtown","murtidash","samog",NA,NA,"","","X","","","","X","","","","X","","","X","","","X","","","X","","","X","","","X","","X","","","","","","","X","","","","X","","X","","X","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","X","","","X",""
"Crazy Yiufs Discount Fruit and Hammers (farquar)",182.514,68,3800,67,"farquar","plasto","matticus","owlicus","tolb",NA,"","X","","","","","","X","","","","X","","X","","","X","","","X","","","","","X","","","X","","","","","","","","","","","","","","X","","","","","","","X","","","X","","","","","","X","","","","","","","X","","","X","","","X",""
