"Name","Score","Rank","The Explorer I","The Explorer II","The Explorer III","The Heretic I","The Heretic II","The Heretic III","Slow and Steady I","Slow and Steady II","Slow and Steady III","The Politician I","The Politician II","The Politician III","The Pious I","The Pious II","The Pious III","Nature's Ally I","Nature's Ally II","Nature's Ally III","Avarice I","Avarice II","Avarice III","The Inheritor I","The Inheritor II","The Inheritor III","Gelatinous Body I","Gelatinous Body II","Gelatinous Body III","Lord of Darkness I","Lord of Darkness II","Lord of Darkness III","Spiteful I","Spiteful II","Spiteful III","Speed Demon I","Speed Demon II","Speed Demon III","Nemelex' Choice I","Nemelex' Choice II","Nemelex' Choice III","The Conqueror I","The Conqueror II","The Conqueror III","The Prophet I","The Prophet II","The Prophet III","The Ascetic I","The Ascetic II","The Ascetic III","The Lorekeeper I","The Lorekeeper II","The Lorekeeper III","Vow of Courage I","Vow of Courage II","Vow of Courage III","Brute Force I","Brute Force II","Brute Force III","Graceful I","Graceful II","Graceful III","Ruthless Efficiency I","Ruthless Efficiency II","Ruthless Efficiency III","Descent into Madness I","Descent into Madness II","Descent into Madness III","The Harvest I","The Harvest II","The Harvest III","Angel of Justice I","Angel of Justice II","Angel of Justice III"
"HungrySpirit",194.735,96,"","","X","X","","","","","X","X","","","X","","","","X","","","X","","","","","","","X","","","","","","","","","X","","","X","","X","","","X","","","","","","","","X","","","","","","","","","","","","X","","","","","X","","","X"
"Konstantin",192.36,97,"X","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","","X","","","","","","","","","","","X","","","","","","","X","","","","","X","","","","","","","","","","","","","","","","","","","",""
"Gorglomux",191.052,98,"","","X","X","","","X","","","","X","","","X","","","X","","","X","","","X","","","X","","","","","X","","","","","X","","X","","","X","","","X","","X","","","X","","","X","","","","","","X","","","","","","","X","","","","X","","","X"
"kml1283",189.144,99,"","","X","X","","","X","","","","","X","","X","","","X","","","X","","","","","X","","","X","","","X","","","","X","","","","","","X","","","X","","X","","","X","","","X","","","","","","X","","","","","","","","X","","X","","","","X"
"Assbag",189.091,100,"","","X","","","","X","","","","X","","","X","","","X","","","X","","","","","","","X","X","","","X","","","","X","","","","","","X","","","X","","X","","","X","","","","","X","","","","X","","","","","","X","","","","","X","","","X"
"VanVeen",187.474,101,"","","X","X","","","","X","","","X","","","X","","","X","","","X","","","","","","","X","X","","","X","","","","","X","","","X","","X","","","X","","","","","X","","","","X","","","","","X","","","","","","","X","","","X","","","X",""
"dying5ever",187.106,102,"","","X","X","","","","","X","","X","","","X","","","X","","","X","","","","","","","X","","","","X","","","","","","","","","","","X","","X","","","","","X","","","X","","","","","","X","","","","","","X","","","","X","","","","X"
"melvina",185.417,103,"","","X","","","","X","","","","","X","","X","","","X","","","X","","","","","X","","","","","","","","","","","","X","","","","X","","","X","","","","","X","","","X","","","","","","X","","","","","","","","X","","","X","","","X"
"penus",184.969,104,"","","X","X","","","X","","","","X","","","X","","","X","","","X","","","","X","","X","","X","","","X","","","","","X","X","","","","","X","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","X","","","X",""
"ducks72",183.997,105,"","","X","","","","X","","","","","X","","X","","","X","","","X","","","","","X","","","X","","","X","","","","X","","","","X","","X","","","","","X","","","X","","","X","","","","","","X","","","","","","","","X","","X","","","X",""
"ragingrage",182.707,106,"","","X","X","","","X","","","","X","","","X","","","X","","","X","","X","","","","X","","","","","","","","","","X","","","","","X","","","","","X","","","","","","","X","","X","","","","","","","","","","","X","","X","","","","X"
"fantismo",181.06,107,"","X","","","","","X","","","","","","X","","","","","","","X","","X","","","X","","","X","","","","","","","X","","","","","","X","","","","","","","X","","","","X","","","","","","X","","","X","","","X","","","","X","","X","",""
"melvinkitnick",179.422,108,"","","X","","","","","X","","","X","","","X","","","X","","","X","","X","","","X","","","X","","","X","","","","X","","X","","","","X","","","","","","","","","","","","X","","","","","X","","","X","","","","X","","","","X","","","X"
"Crut",178.191,109,"","","X","X","","","","","X","X","","","","X","","","X","","","X","","X","","","","","X","","","","","","","","","","","","X","","X","","","X","","X","","","X","","","X","","","","","","X","","","","","","X","","","","X","","","X",""
